ac_code	description	item_group	base_uom
AK-EXALTED MATT (Q)	AKEMI EXALTED MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-EXALTED MATT (S)	AKEMI EXALTED MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-EXALTED MATT (SK)	AKEMI EXALTED MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-EXALTED MATT (SP)	AKEMI EXALTED MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-EXALTED MATT (SS)	AKEMI EXALTED MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-FORTRESS MATT (K)	AKEMI FORTRESS MATTRESS (183x190x36CM)	MATTRESS	UNIT
AK-FORTRESS MATT (Q)	AKEMI FORTRESS MATTRESS (153x190x36CM)	MATTRESS	UNIT
AK-FORTRESS MATT (S)	AKEMI FORTRESS MATTRESS (91x190x36CM)	MATTRESS	UNIT
AK-FORTRESS MATT (SK)	AKEMI FORTRESS MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-FORTRESS MATT (SS)	AKEMI FORTRESS MATTRESS (107x190x36CM)	MATTRESS	UNIT
AK-GUARDIAN MATT (K)	AKEMI GUARDIAN MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-GUARDIAN MATT (Q)	AKEMI GUARDIAN MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-GUARDIAN MATT (S)	AKEMI GUARDIAN MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-GUARDIAN MATT (SK)	AKEMI GUARDIAN MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-GUARDIAN MATT (SP)	AKEMI GUARDIAN MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-GUARDIAN MATT (SS)	AKEMI GUARDIAN MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-HAPPY SLEEP EASY	HAPPI SLEEP EASY PILLOW	ACC	UNIT
AK-HM CL BRW 4SSQLT	AKE HARMONY CLIFF BROWN QUILT COVER (SUPER SINGLE)	BEDLINES	SET
AK-HM CL BRW 5KQLT	AKE HARMONY CLIFF BROWN QUILT COVER (KING)	BEDLINES	SET
AK-HM CL BRW 5QQLT	AKE HARMONY CLIFF BROWN QUILT COVER (QUEEN)	BEDLINES	SET
AK-HM FR APC 5KQLT	AKE HARMONY FRESH APRICOT QUILT COVER (KING)	BEDLINES	SET
AK-HM FR APC 5QQLT	AKE HARMONY FRESH APRICOT QUILT COVER (QUEEN)	BEDLINES	SET
AK-HM HD GRN 4SSQLT	AKE HARMONY HONEYDEW GREEN QUILT COVER (SUPER SINGLE)	BEDLINES	SET
AK-HM HD GRN 5KQLT	AKE HARMONY HONEYDEW GREEN QUILT COVER (KING)	BEDLINES	SET
AK-HM HD GRN 5QQLT	AKE HARMONY HONEYDEW GREEN QUILT COVER (QUEEN)	BEDLINES	SET
AK-HM IN GRY 4SSQLT	AKE HARMONY INARA GREY QUILT COVER (SUPER SINGLE)	BEDLINES	SET
AK-HM IN GRY 5KQLT	AKE HARMONY INARA GREY QUILT COVER (KING)	BEDLINES	SET
AK-HM IN GRY 5QQLT	AKE HARMONY INARA GREY QUILT COVER (QUEEN)	BEDLINES	SET
AK-HM RY YLW 4SSQLT	AKE HARMONY RAY YELLOW QUILT COVER (SUPER SINGLE)	BEDLINES	SET
AK-HM RY YLW 5KQLT	AKE HARMONY RAY YELLOW QUILT COVER (KING)	BEDLINES	SET
